iter	Passed	Remaining
0	167	167601
1	169	84697
2	171	56933
3	172	43065
4	174	34707
5	175	29151
6	177	25206
7	180	22325
8	182	20144
9	184	18274
10	185	16719
11	187	15449
12	189	14362
13	190	13415
14	191	12607
15	193	11917
16	195	11308
17	197	10795
18	199	10290
19	200	9834
20	202	9420
21	203	9045
22	204	8697
23	206	8395
24	208	8115
25	210	7868
26	212	7660
27	214	7432
28	215	7217
29	217	7024
30	218	6842
31	220	6678
32	222	6518
33	224	6364
34	226	6249
35	228	6110
36	229	5979
37	231	5852
38	232	5735
39	234	5625
40	235	5517
41	237	5414
42	238	5315
43	241	5243
44	242	5154
45	244	5068
46	245	4984
47	247	4905
48	248	4832
49	250	4758
50	251	4687
51	253	4617
52	256	4579
53	257	4515
54	259	4453
55	260	4392
56	262	4338
57	264	4289
58	265	4238
59	267	4190
60	269	4147
61	271	4108
62	273	4065
63	275	4030
64	277	3987
65	278	3944
66	280	3905
67	282	3865
68	283	3830
69	285	3799
70	287	3762
71	289	3727
72	290	3692
73	292	3657
74	293	3625
75	295	3592
76	297	3560
77	298	3529
78	300	3499
79	301	3469
80	303	3439
81	304	3412
82	305	3378
83	307	3351
84	308	3323
85	310	3298
86	311	3272
87	313	3247
88	315	3225
89	316	3204
90	318	3184
91	320	3162
92	321	3139
93	323	3116
94	324	3095
95	326	3074
96	327	3052
97	330	3037
98	331	3019
99	333	3001
100	334	2980
101	336	2961
102	337	2942
103	339	2924
104	340	2906
105	342	2887
106	343	2869
107	345	2854
108	347	2838
109	348	2823
110	350	2807
111	352	2793
112	354	2778
113	355	2764
114	357	2749
115	358	2734
116	360	2720
117	362	2707
118	363	2692
119	365	2677
120	366	2663
121	367	2647
122	369	2633
123	371	2620
124	372	2608
125	374	2596
126	376	2586
127	377	2574
128	379	2561
129	380	2548
130	382	2537
131	383	2524
132	385	2511
133	386	2499
134	388	2486
135	389	2474
136	392	2469
137	393	2460
138	395	2449
139	396	2438
140	398	2428
141	399	2414
142	401	2403
143	402	2393
144	404	2382
145	406	2376
146	407	2367
147	409	2357
148	411	2348
149	412	2338
150	414	2328
151	415	2318
152	417	2310
153	418	2301
154	420	2293
155	422	2283
156	423	2274
157	425	2266
158	427	2259
159	428	2251
160	430	2240
161	431	2231
162	433	2223
163	434	2214
164	436	2211
165	438	2203
166	440	2194
167	441	2187
168	442	2178
169	444	2169
170	445	2160
171	447	2153
172	449	2146
173	450	2139
174	452	2132
175	454	2126
176	455	2118
177	457	2111
178	458	2105
179	460	2099
180	462	2092
181	464	2086
182	465	2079
183	467	2074
184	469	2067
185	470	2059
186	472	2052
187	473	2045
188	475	2038
189	476	2032
190	478	2025
191	479	2019
192	481	2013
193	483	2007
194	484	2001
195	486	1995
196	487	1988
197	489	1982
198	491	1976
199	492	1970
200	494	1965
201	496	1960
202	498	1957
203	500	1952
204	501	1946
205	503	1940
206	505	1935
207	508	1934
208	509	1929
209	512	1926
210	513	1921
211	515	1917
212	517	1912
213	519	1908
214	521	1903
215	522	1897
216	524	1892
217	526	1887
218	527	1882
219	529	1877
220	531	1872
221	532	1866
222	534	1862
223	536	1857
224	537	1851
225	539	1846
226	540	1840
227	542	1835
228	543	1830
229	545	1825
230	546	1820
231	548	1816
232	550	1811
233	551	1805
234	553	1800
235	554	1794
236	555	1789
237	557	1785
238	559	1783
239	561	1778
240	563	1774
241	564	1769
242	566	1764
243	567	1759
244	569	1754
245	570	1750
246	573	1747
247	575	1744
248	576	1740
249	578	1736
250	580	1730
251	581	1726
252	582	1721
253	584	1716
254	585	1711
255	587	1708
256	590	1706
257	591	1702
258	593	1698
259	595	1693
260	596	1689
261	597	1684
262	599	1679
263	600	1674
264	602	1670
265	604	1667
266	606	1663
267	607	1660
268	609	1656
269	610	1651
270	612	1647
271	613	1642
272	615	1637
273	616	1634
274	618	1630
275	620	1627
276	622	1623
277	623	1619
278	624	1614
279	626	1610
280	627	1606
281	629	1601
282	630	1597
283	631	1593
284	634	1590
285	635	1587
286	637	1582
287	638	1578
288	639	1574
289	641	1569
290	642	1565
291	644	1561
292	645	1558
293	648	1556
294	649	1552
295	651	1548
296	652	1544
297	654	1540
298	655	1536
299	656	1532
300	658	1528
301	659	1524
302	661	1520
303	663	1519
304	665	1515
305	666	1512
306	668	1508
307	669	1504
308	670	1500
309	672	1496
310	673	1492
311	674	1488
312	676	1484
313	677	1481
314	679	1478
315	681	1474
316	682	1470
317	684	1468
318	686	1464
319	687	1461
320	689	1457
321	690	1454
322	692	1450
323	694	1448
324	695	1444
325	697	1441
326	698	1437
327	699	1433
328	701	1430
329	702	1426
330	703	1422
331	705	1419
332	707	1416
333	709	1414
334	710	1410
335	712	1407
336	713	1403
337	715	1400
338	716	1397
339	717	1393
340	719	1390
341	720	1386
342	722	1383
343	723	1380
344	725	1377
345	726	1373
346	728	1370
347	729	1366
348	730	1363
349	731	1359
350	733	1356
351	735	1353
352	736	1350
353	738	1348
354	740	1345
355	742	1343
356	744	1340
357	746	1337
358	748	1335
359	749	1332
360	751	1330
361	753	1328
362	756	1326
363	757	1324
364	759	1321
365	761	1319
366	763	1316
367	765	1313
368	766	1311
369	768	1309
370	770	1306
371	772	1303
372	773	1300
373	775	1297
374	776	1294
375	778	1291
376	779	1288
377	781	1285
378	782	1282
379	784	1280
380	786	1277
381	787	1274
382	789	1271
383	791	1269
384	793	1267
385	795	1265
386	797	1262
387	798	1260
388	800	1258
389	802	1255
390	804	1252
391	806	1250
392	807	1247
393	809	1245
394	811	1242
395	812	1239
396	815	1238
397	816	1235
398	818	1232
399	820	1230
400	821	1227
401	823	1224
402	824	1222
403	826	1219
404	828	1216
405	830	1214
406	832	1212
407	833	1210
408	835	1207
409	837	1204
410	838	1202
411	840	1199
412	842	1196
413	843	1194
414	845	1192
415	847	1189
416	848	1186
417	850	1184
418	852	1182
419	854	1179
420	855	1177
421	857	1174
422	859	1172
423	861	1170
424	862	1167
425	864	1164
426	865	1161
427	866	1158
428	868	1155
429	869	1152
430	871	1149
431	872	1147
432	873	1144
433	875	1142
434	877	1139
435	878	1136
436	880	1133
437	881	1131
438	883	1128
439	884	1125
440	885	1122
441	887	1119
442	888	1117
443	890	1115
444	892	1112
445	893	1109
446	894	1107
447	896	1104
448	897	1101
449	898	1098
450	900	1095
451	901	1092
452	903	1090
453	905	1088
454	907	1086
455	908	1083
456	910	1081
457	911	1078
458	912	1076
459	914	1073
460	915	1070
461	916	1067
462	918	1065
463	921	1064
464	922	1061
465	924	1059
466	925	1056
467	926	1053
468	928	1051
469	929	1048
470	931	1045
471	932	1043
472	934	1041
473	936	1039
474	938	1037
475	939	1034
476	941	1032
477	942	1029
478	944	1026
479	945	1024
480	947	1022
481	949	1020
482	951	1018
483	953	1016
484	955	1014
485	956	1011
486	958	1009
487	960	1007
488	961	1005
489	963	1003
490	965	1001
491	967	999
492	969	996
493	971	994
494	972	992
495	974	990
496	976	988
497	978	986
498	980	984
499	982	982
500	984	980
501	986	978
502	987	975
503	989	973
504	990	971
505	992	969
506	994	966
507	995	964
508	997	962
509	999	960
510	1000	957
511	1002	955
512	1004	953
513	1006	951
514	1007	949
515	1009	946
516	1011	945
517	1013	943
518	1015	940
519	1016	938
520	1018	936
521	1019	934
522	1021	931
523	1023	929
524	1024	927
525	1026	925
526	1028	922
